insitu_date;product_sensing_start;product_name;product_uuid;product_satellite;product_sensor;L2_file;station;lat;lon
11.07.2019;2019-07-11T10:20:34.451935Z;S3A_OL_1_EFR____20190711T102034_20190711T102334_20240601T023642_0179_047_008_2160_MAR_R_NT_004.SEN3;413af6fd-ba48-317a-a6dc-816e4d53afb4;S3A;OLCI;France_Geneva_chlorophyll_a_20190711.nc;SHL2;46.453457;6.5942335
11.07.2019;2019-07-11T09:40:59.172697Z;S3B_OL_1_EFR____20190711T094059_20190711T094359_20240525T152223_0179_027_250_2160_MAR_R_NT_004.SEN3;db3d5aad-8e40-3041-a292-c04e034be231;S3B;OLCI;France_Geneva_chlorophyll_a_20190711.nc;SHL2;46.453457;6.5942335
24.07.2019;2019-07-24T09:43:09.505946Z;S3A_OL_1_EFR____20190724T094310_20190724T094609_20240601T023632_0179_047_193_2160_MAR_R_NT_004.SEN3;194f55ee-62ea-3882-a2a1-7123fdbd58ac;S3A;OLCI;France_Geneva_chlorophyll_a_20190724.nc;SHL2;46.453457;6.5942335
07.08.2019;2019-08-07T10:20:32.127483Z;S3A_OL_1_EFR____20190807T102032_20190807T102332_20240601T034823_0179_048_008_2160_MAR_R_NT_004.SEN3;636132a4-39d3-37f7-9be4-39e67752dd5e;S3A;OLCI;France_Geneva_chlorophyll_a_20190807.nc;SHL2;46.453457;6.5942335
07.08.2019;2019-08-07T09:41:00.031358Z;S3B_OL_1_EFR____20190807T094100_20190807T094400_20240525T155621_0179_028_250_2160_MAR_R_NT_004.SEN3;f522688b-2fdd-38ba-9110-d691cb8d03f3;S3B;OLCI;France_Geneva_chlorophyll_a_20190807.nc;SHL2;46.453457;6.5942335
28.08.2019;2019-08-28T09:35:35.566849Z;S3A_OL_1_EFR____20190828T093536_20190828T093836_20240601T071009_0179_048_307_2160_MAR_R_NT_004.SEN3;72edd7c4-82e5-304c-8272-8226facef068;S3A;OLCI;France_Geneva_chlorophyll_a_20190828.nc;SHL2;46.453457;6.5942335
11.09.2019;2019-09-11T09:33:29.874679Z;S3B_OL_1_EFR____20190911T093330_20190911T093630_20240525T161126_0179_029_364_2160_MAR_R_NT_004.SEN3;14aec60d-c948-3f9e-b764-97af9acc5ec8;S3B;OLCI;France_Geneva_chlorophyll_a_20190911.nc;SHL2;46.453457;6.5942335
11.09.2019;2019-09-11T10:13:01.931082Z;S3A_OL_1_EFR____20190911T101302_20190911T101602_20240601T071155_0180_049_122_2160_MAR_R_NT_004.SEN3;6c1d54b4-2497-33e2-ad38-fc3cbedf19e9;S3A;OLCI;France_Geneva_chlorophyll_a_20190911.nc;SHL2;46.453457;6.5942335
24.09.2019;2019-09-24T09:35:39.226620Z;S3A_OL_1_EFR____20190924T093539_20190924T093839_20240601T090431_0179_049_307_2160_MAR_R_NT_004.SEN3;7bde3898-d23c-36f7-bbe6-adb3a0e1c36a;S3A;OLCI;France_Geneva_chlorophyll_a_20190924.nc;SHL2;46.453457;6.5942335
14.10.2019;2019-10-14T10:18:19.072690Z;S3B_OL_1_EFR____20191014T101819_20191014T102119_20240525T230327_0179_031_065_2160_MAR_R_NT_004.SEN3;39ed9269-15e6-3cf3-91f8-e6348f1fb025;S3B;OLCI;France_Geneva_chlorophyll_a_20191014.nc;SHL2;46.453457;6.5942335
28.10.2019;2019-10-28T09:54:22.052955Z;S3A_OL_1_EFR____20191028T095422_20191028T095722_20240601T112412_0179_051_022_2160_MAR_R_NT_004.SEN3;0b334d66-e38e-3386-9f8f-858cf64cc470;S3A;OLCI;France_Geneva_chlorophyll_a_20191028.nc;SHL2;46.453457;6.5942335
13.11.2019;2019-11-13T09:39:22.797065Z;S3A_OL_1_EFR____20191113T093923_20191113T094223_20240601T131943_0179_051_250_2160_MAR_R_NT_004.SEN3;c4905ee3-fcf5-388a-86bf-bf5bdb828310;S3A;OLCI;France_Geneva_chlorophyll_a_20191113.nc;SHL2;46.453457;6.5942335
10.12.2019;2019-12-10T09:39:18.577030Z;S3A_OL_1_EFR____20191210T093919_20191210T094219_20240601T143221_0179_052_250_2160_MAR_R_NT_004.SEN3;b1927c80-347b-392e-b638-d659080383b7;S3A;OLCI;France_Geneva_chlorophyll_a_20191210.nc;SHL2;46.453457;6.5942335
