wavelength_nm,absorption
511,0.013357900398120444
512,0.013138578771903798
513,0.012941737176809045
514,0.012757793737251184
515,0.012576966096719206
516,0.01239019476424795
517,0.012199796455953194
518,0.012017140862361067
519,0.011853848279358542
520,0.011718251343308247
521,0.011603242916197288
522,0.011497187387958895
523,0.011388448558164996
524,0.011265390226387515
525,0.011116390527579005
526,0.010941079451885959
527,0.010770503016880798
528,0.010641147671942611
529,0.010589476947509655
530,0.010631876476046092
531,0.0107278779463366
532,0.010827019611522957
533,0.010880056594121062
534,0.010869199216382776
535,0.010810169036723905
536,0.010720316207068445
537,0.010616990879340397
538,0.010516286889759377
539,0.010423093488495022
540,0.01033641427716372
541,0.010255200630146318
542,0.01017840392182365
543,0.01010497552657656
544,0.010033962360077454
545,0.009964901336254328
546,0.00989748602722008
547,0.009831410074617731
548,0.009766367120090316
549,0.009702050805280856
550,0.00963815477183239
551,0.009574372661387937
552,0.009510398115590523
553,0.009445978635166084
554,0.009381240504407674
555,0.009316472522232857
556,0.009251964110855352
557,0.009188004692488873
558,0.009124883689347147
559,0.009062890523643887
560,0.009002314617592821
561,0.008943445393407662
562,0.008886572273302131
563,0.008831984679489951
564,0.008779972034184836
565,0.008730823609944987
566,0.008684350619352386
567,0.008638825511146088
568,0.00859221173734483
569,0.008542472749967351
570,0.008487572001032383
571,0.008425472942558663
572,0.008354139026564926
573,0.008271533705069906
574,0.008175620430092342
575,0.008065254781797985
576,0.007952288258750889
577,0.007858399139638967
578,0.007805508438600311
579,0.007815387288473936
580,0.007889279310119823
581,0.00798720465261514
582,0.008064252252247555
583,0.008078143893789906
584,0.008026456739861739
585,0.007937685767953546
586,0.007841135083831958
587,0.007764755366801378
588,0.0077156090673432725
589,0.007684346708482432
590,0.007661177002827523
591,0.007636330099662373
592,0.007603474687078247
593,0.007563468435707362
594,0.007518071046405236
595,0.007469042220027383
596,0.007418141657429318
597,0.0073671290594665585
598,0.007317764126994622
599,0.007271746148725489
600,0.007230486524089855
601,0.007195310989903103
602,0.007167545268685247
603,0.007148515082956301
604,0.0071395461552362744
605,0.007141964208045177
606,0.007157079884186885
607,0.007184999671935843
608,0.00722376746788455
609,0.007271224653917691
610,0.007325212611919941
611,0.007383572723775989
612,0.00744414637137051
613,0.007504774936588193
614,0.007563299801313716
615,0.007617692643414384
616,0.007668237625325205
617,0.007717205072347059
618,0.007766929867640794
619,0.007819746894367256
620,0.007877991035687294
621,0.007943997174761753
622,0.008019694946151568
623,0.008101831140139857
624,0.008183570180141082
625,0.008258005086979084
626,0.008318228881477697
627,0.00835734604707962
628,0.008371662492458394
629,0.008365049043627514
630,0.00834246889704642
631,0.008308885249174553
632,0.00826926129647135
633,0.00822856023539625
634,0.00819174526240869
635,0.008162960476527599
636,0.008141893268728587
637,0.008126722582980146
638,0.008115626165045341
639,0.008106781760687248
640,0.008098367115668928
641,0.008088559975753461
642,0.008075558875642933
643,0.008060018264692199
644,0.00804733064721165
645,0.008043428502054514
646,0.008054244308074025
647,0.008085708392714636
648,0.008142874505200822
649,0.00822857705683451
650,0.008345304550405459
651,0.008495545488703404
652,0.008681788374518109
653,0.008906521710639319
654,0.009171888882266471
655,0.009474908485402651
656,0.0098086739925277
657,0.010166179053911347
658,0.010540417319823327
659,0.010928895010724686
660,0.011355968044785279
661,0.01185588283540552
662,0.01246290128211456
663,0.013190641276537953
664,0.013928033475405532
665,0.014518741028336286
666,0.01489606382162164
667,0.015139155699079759
668,0.01534054598572883
669,0.01559187153082633
670,0.01592132551080977
671,0.0162526075673461
672,0.016504462166967677
673,0.0166357077640089
674,0.016627793551635354
675,0.01650611322046169
676,0.016331815023672782
677,0.01616709281149475
678,0.01604253602327912
679,0.015835906343858754
680,0.015378833573881541
681,0.014605616435665799
682,0.013817342780053556
683,0.013146524426168362
684,0.01251017291549838
685,0.011825834541327272
686,0.011098092467820004
687,0.010389403002022806
688,0.009763267193659024
689,0.009239222985656314
690,0.008668477271213143
691,0.007861954764736431
692,0.006715591768983195
693,0.005836477127322271
694,0.0054938797385703595
695,0.005450380281826466
696,0.005458707135625545
697,0.005324866744185824
698,0.005064917747670154
699,0.004746677771813747
700,0.004437964442351811
701,0.0042062290803601835
702,0.004082878797340195
703,0.004033379577833351
704,0.004016158922156702
705,0.0039896443306273064
706,0.003919490326047231
707,0.0038100990048924167
708,0.003678803316925571
709,0.003542945207050822
710,0.0034198492453322753
711,0.003321238016382538
712,0.0032452279557437574
713,0.0031879096601020607
714,0.003145373726143571
715,0.0031137107505544146
716,0.0030890113300207165
717,0.0030673660612286014
718,0.003044946632200658
719,0.0030195933827928327
720,0.002990712955213556
721,0.002957772587397557
722,0.0029202395172795636
723,0.0028775809827943067
724,0.0028292642218765147
725,0.002774756472460918
726,0.0027135249724822455
727,0.0026451033315675093
728,0.002571295114659929
729,0.002496684749147613
730,0.002426026537350736
731,0.002364074781589472
732,0.002315214464327971
733,0.0022798715752749394
734,0.0022560682061232894
735,0.0022417926251064803
736,0.0022350331004579722
737,0.0022337779004112253
738,0.0022360152931996985
739,0.0022397404370606703
740,0.00224320447944374
741,0.0022449844040160235
742,0.002243678309234751
743,0.0022378842935571485
744,0.0022262004554404434
745,0.0022072248933418643
746,0.0021795557057186395
747,0.0021417909910279955
748,0.0020925288477271604
749,0.002030367374273362
750,
