wavelengths;phytoplankton;cryptophyta;cyanobacteria;diatoms;dinoflagellates;green algae;brown algae;cyanobacteria blue;cyanobacteria red
494;0.0247;0.015962;0.024106;0.025473076;0.039328;0.022036;0.027372062;0.022733275;0.035510256
495;0.0245;0.015939;0.024002;0.025306228;0.038971;0.021381;0.027021372;0.022480317;0.035351231
496;0.0243;0.015891;0.023879;0.025113626;0.03861;0.020721;0.026670682;0.022227358;0.035192205
497;0.024;0.01581;0.023748;0.02489685;0.038247;0.020062;0.026324659;0.021899397;0.034999403
498;0.0238;0.015697;0.023616;0.024657322;0.037886;0.019408;0.025978635;0.021571437;0.034806601
499;0.0235;0.015549;0.023482;0.024397886;0.037519;0.018765;0.025645098;0.021167374;0.034600954
500;0.0232;0.015369;0.023337;0.024121544;0.037156;0.018136;0.02531156;0.020763311;0.034395307
501;0.0229;0.015157;0.023156;0.02383114;0.03679;0.017522;0.024961412;0.020294227;0.03409256
502;0.0227;0.014916;0.022936;0.023529834;0.036425;0.016927;0.024611263;0.019825142;0.033789813
503;0.0223;0.01465;0.0227;0.023221576;0.036061;0.016353;0.024257596;0.019297204;0.033441875
504;0.022;0.014363;0.022445;0.02290842;0.035695;0.015799;0.023903928;0.018769267;0.033093938
505;0.0217;0.014059;0.022206;0.022594316;0.035334;0.015267;0.023570594;0.018192876;0.032760014
506;0.0214;0.013739;0.021994;0.022281634;0.03497;0.014758;0.02323726;0.017616485;0.03242609
507;0.0211;0.013412;0.021791;0.021972586;0.03461;0.01427;0.022909219;0.017006801;0.032127415
508;0.0208;0.013077;0.021586;0.021669384;0.034253;0.013804;0.022581178;0.016397117;0.031828741
509;0.0204;0.012742;0.021376;0.021373292;0.033893;0.013359;0.022254701;0.015774061;0.031548586
510;0.0201;0.01242;0.021214;0.021086206;0.033541;0.012935;0.021928225;0.015151004;0.031268432
511;0.0198;0.01211;0.021102;0.0208086;0.033187;0.012531;0.021591542;0.014551371;0.031111121
512;0.0195;0.011815;0.020999;0.020541264;0.032835;0.012146;0.021254858;0.013951738;0.03095381
513;0.0192;0.011535;0.020897;0.020284672;0.032489;0.01178;0.020915784;0.013371854;0.030801418
514;0.019;0.011271;0.020793;0.020038824;0.032144;0.011432;0.02057671;0.01279197;0.030649026
515;0.0187;0.011028;0.02069;0.019803404;0.031802;0.0111;0.020261166;0.012242688;0.030496699
516;0.0185;0.010812;0.020587;0.019578254;0.031465;0.010786;0.019945623;0.011693407;0.030344372
517;0.0182;0.010626;0.020484;0.0193629;0.031128;0.010486;0.019635815;0.011183951;0.030202891
518;0.018;0.010466;0.020383;0.019156394;0.030799;0.010201;0.019326008;0.010674495;0.030061409
519;0.0178;0.010329;0.020304;0.01895842;0.030468;0.009931;0.019009844;0.010212458;0.029957193
520;0.0176;0.010212;0.020254;0.018767872;0.030144;0.009673;0.018693681;0.009750421;0.029852976
521;0.0174;0.010118;0.020236;0.01858396;0.029824;0.009429;0.018371671;0.00935498;0.029847382
522;0.0173;0.01005;0.020239;0.018405894;0.029505;0.009196;0.018049661;0.008959539;0.029841787
