Specific absorption coefficients of seven phytoplankton types.								
Brown group, Green group, Cryptophyta, Cyanobacteria blue and red, Coccolithophores and Case-1 are from the supplemental data of [1]. Values > 720 nm are filled using the closest value.								
Dinflagellates is from WASI [2] and derived from pure cultures grown in the laboratory [4,5,6].								
								
[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]								
[2] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.								
[4] Gege (1994): Gew�sseranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p								
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.								
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.								

								
wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Dinoflagellates,Case-1
618,0.008233248,0.010094038,0.007667757,0.019404985,0.010459114,0.00798938,0.014924,0.00832135799382025
620,0.008384956,0.010259804,0.007913705,0.019933275,0.010598613,0.007957128,0.014968,0.00844648452928145
622,0.008531507,0.010396343,0.008141894,0.020426552,0.010812748,0.008004324,0.015023,0.00854597175913055
624,0.008702886,0.010511914,0.008352702,0.020862277,0.010983959,0.008108438,0.01508,0.00865645957932692
626,0.008928677,0.010603671,0.008543169,0.021200168,0.011118742,0.008255855,0.015129,0.00877170867738018
628,0.009147524,0.010677028,0.008704555,0.021404118,0.011203893,0.008428239,0.015158,0.00883567780356142
630,0.009305898,0.010745667,0.008822339,0.021442202,0.011206508,0.008593724,0.015158,0.00888225562390969
632,0.009425002,0.01083014,0.00889842,0.021328273,0.01127197,0.008724951,0.015126,0.00894772900811904
634,0.0095105,0.01096222,0.008930043,0.021087248,0.011310746,0.008815401,0.015065,0.0089613848408667
636,0.009577982,0.011177113,0.00891738,0.020704469,0.011368363,0.008858225,0.014986,0.00894737969271148
638,0.009595103,0.011503325,0.008866737,0.02017114,0.011473694,0.008833042,0.014901,0.00891721722261345
640,0.009510937,0.011962659,0.00879055,0.019484333,0.011638958,0.008751592,0.014828,0.00888889756446366
642,0.009347106,0.012574552,0.008699604,0.018656014,0.011604319,0.008661717,0.01478,0.00885340815809558
644,0.009146193,0.013287052,0.008624526,0.017758846,0.011590515,0.00855981,0.014771,0.00882393083602959
646,0.008880473,0.014033445,0.008622136,0.016863103,0.011595916,0.008432366,0.014811,0.00881176219136448
648,0.008671645,0.014760517,0.008746079,0.016036116,0.011650307,0.008342996,0.014911,0.00888048777128757
650,0.008623289,0.015428557,0.009046818,0.015342282,0.011814885,0.008351047,0.015083,0.00903180319039052
652,0.008761704,0.016028326,0.009529715,0.014880346,0.012171005,0.00843998,0.015336,0.00924948494976769
654,0.009237705,0.016564637,0.010276094,0.014675871,0.012706503,0.008645375,0.015685,0.00963765959360104
