Specific scattering coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]


wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore,Phytoplankton Case 1
636,0.2204828,0.216876322,0.190249286,0.218295531,0.227631637,0.559185562,0.144379122
638,0.220348989,0.21655011,0.190299929,0.21882886,0.227526306,0.557848293,0.144423251
640,0.220312369,0.216090776,0.190376116,0.219515667,0.227361042,0.556592477,0.144565541
642,0.220343678,0.215478883,0.190467063,0.220343986,0.227395681,0.555373442,0.144709861
644,0.220411207,0.214766383,0.190542141,0.221241154,0.227409485,0.554093647,0.14466033
646,0.220531953,0.21401999,0.19054453,0.222136897,0.227404084,0.552659223,0.144474762
648,0.220572591,0.213292918,0.190420587,0.222963884,0.227349693,0.551025381,0.144148484
650,0.220447369,0.212624879,0.190119849,0.223657718,0.227185115,0.549164171,0.143725328
652,0.220113662,0.212025109,0.189636952,0.224119654,0.226828995,0.547087738,0.143253987
654,0.219418152,0.211488798,0.188890573,0.224324129,0.226293497,0.544836306,0.142611228
656,0.218335767,0.210939205,0.187836156,0.224230231,0.225542931,0.54244636,0.14176409
658,0.216890957,0.210308263,0.186489926,0.223820615,0.224608582,0.540022869,0.140710201
660,0.215186027,0.209536574,0.184928892,0.2231015,0.223588707,0.537488289,0.139349915
662,0.213219013,0.208627355,0.183199877,0.222106184,0.222429377,0.534857092,0.137951276
664,0.21105272,0.20764638,0.181457502,0.220935067,0.221125812,0.532184336,0.136316173
666,0.209022854,0.206657505,0.179825286,0.219668235,0.219680775,0.529516215,0.134557102
668,0.207218715,0.205738542,0.178384811,0.218391731,0.218198849,0.527023607,0.133165878
670,0.205718767,0.204981258,0.177175724,0.217197554,0.216886431,0.524845332,0.132648262
672,0.204659583,0.204476749,0.176224185,0.216218433,0.216004426,0.523160388,0.13266288
674,0.204080129,0.204194888,0.175575369,0.215496471,0.21541713,0.522091995,0.132991184
676,0.204153435,0.204153435,0.175266667,0.2151,0.2151,0.5217621,0.133855776
678,0.205087744,0.204388444,0.175349603,0.215116165,0.215087643,0.522206227,0.1352417
680,0.206703078,0.204954263,0.175889839,0.215650917,0.215473815,0.523308823,0.137057759
682,0.208964421,0.205924146,0.176916901,0.216757618,0.216701908,0.524894604,0.139231784
684,0.211758845,0.207322922,0.178375062,0.218356646,0.218414892,0.526721224,0.141691809
686,0.214560178,0.20910408,0.180195157,0.220332395,0.220549512,0.528874753,0.144064084
688,0.217225514,0.211173327,0.182283093,0.222545918,0.222943505,0.530583932,0.146121044
690,0.219667806,0.213388592,0.184519853,0.224834922,0.225335601,0.531382949,0.147548869
692,0.221650973,0.215472896,0.186698397,0.22695273,0.227626911,0.531430869,0.148238675
694,0.223243979,0.21740437,0.188742374,0.228899644,0.229661901,0.530744056,0.148494672
696,0.224462,0.219152416,0.190599951,0.230649191,0.231468032,0.529593089,0.148695916
698,0.22523196,0.220635059,0.192164507,0.232112947,0.232917738,0.528151605,0.148640263
700,0.22573989,0.221915937,0.193480558,0.233349693,0.234046343,0.526501566,0.148367066
702,0.226161567,0.222984622,0.194489479,0.234341403,0.234918451,0.524731315,0.148046571
704,0.22643883,0.223857872,0.195293554,0.235143242,0.23562053,0.522971778,0.147719109
706,0.226624618,0.224573604,0.195952614,0.235800456,0.236195984,0.521378908,0.147400082
708,0.226716424,0.225168462,0.196502039,0.236347401,0.236675315,0.519918195,0.146929784
710,0.226751652,0.225660368,0.196956374,0.236799685,0.237071688,0.518506166,0.146351186
712,0.226780705,0.226067356,0.197332278,0.237173892,0.237399636,0.517059287,0.145843161
714,0.226783961,0.226404266,0.197643456,0.237483665,0.237671115,0.515620967,0.145338658
716,0.226769184,0.226683312,0.197901189,0.237740235,0.237895967,0.514130099,0.144859596
718,0.226725957,0.226914553,0.198114769,0.237952851,0.238082299,0.512557776,0.144409046
720,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
721,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
722,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
723,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
724,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
725,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
726,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
727,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
728,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
729,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
730,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
731,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
732,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
733,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
734,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
735,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
736,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
737,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
738,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
739,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
740,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
741,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
742,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
743,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
744,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
745,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
746,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
747,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
748,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
749,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
750,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
751,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
752,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
753,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
754,0.226683507,0.22710628,0.198291852,0.238129135,0.238236791,0.510985675,0.143990025
