Parameters for the Empirical a_Phi(lambda) Simulation by Eq. 12 in [1] taken from Lee (1994) [2].

ACHTUNG: RESAMPLED TO 1 NM BANDS.

[1] Lee et al. (1998): Hyperspectral remote sensing for shallow waters: 1 A semianalytical model [10.1364/AO.37.006329]
[2] Lee (1994): VISIBLE-INFRARED REMOTE-SENSING MODEL AND APPLICATIONS FOR OCEAN WATERS. Dissertation.

wavelength_nm	a_0	a_1
676	0.836231636	0.154684236
677	0.819735296	0.151440606
678	0.799466027	0.147669528
679	0.775646653	0.143434745
680	0.7485	0.1388
681	0.718294837	0.133825758
682	0.685483717	0.128559371
683	0.650565136	0.123044914
684	0.614037594	0.117326461
685	0.576399586	0.111448087
686	0.538149612	0.105453866
687	0.499786169	0.099387872
688	0.461807754	0.093294181
689	0.424712865	0.087216865
690	0.389	0.0812
691	0.355086104	0.075285308
692	0.323061914	0.0695051
693	0.292936616	0.063889336
694	0.264719393	0.058467975
695	0.238419431	0.053270976
696	0.214045914	0.0483283
697	0.191608028	0.043669904
698	0.171114957	0.03932575
699	0.152575886	0.035325795
700	0.136	0.0317
701	0.121370746	0.028468512
702	0.108568626	0.02561223
703	0.097448401	0.023102244
704	0.087864834	0.02090964
705	0.07967269	0.019005508
706	0.07272673	0.017360935
707	0.066881718	0.01594701
708	0.061992417	0.01473482
709	0.05791359	0.013695454
710	0.0545	0.0128
711	0.05160641	0.012019546
712	0.049087583	0.01132518
713	0.046798282	0.01068799
714	0.04459327	0.010079065
715	0.04232731	0.009469492
716	0.039855166	0.00883036
717	0.037031599	0.008132756
718	0.033711374	0.00734777
719	0.029749254	0.006446488
720	0.025	0.0054
