Specific absorption coefficients of seven phytoplankton types from the supplemental data of [1]. Values > 720 nm are filled using the closest value.

[1] Bi et al. (2023): Bio-geo-optical modelling of natural waters [10.3389/fmars.2023.1196352]






















wavelength_nm,Brown group,Green group,Cryptophyte,Cyanobacteria blue,Cyanobacteria red,Coccolithophore
612,0.00765207,0.009483713,0.006887944,0.017534794,0.010292661,0.008470095
614,0.007850474,0.009695817,0.007137814,0.018198247,0.010343805,0.008269003
616,0.008051675,0.009902344,0.007403194,0.018827867,0.010384853,0.008098626
618,0.008233248,0.010094038,0.007667757,0.019404985,0.010459114,0.00798938
620,0.008384956,0.010259804,0.007913705,0.019933275,0.010598613,0.007957128
622,0.008531507,0.010396343,0.008141894,0.020426552,0.010812748,0.008004324
624,0.008702886,0.010511914,0.008352702,0.020862277,0.010983959,0.008108438
626,0.008928677,0.010603671,0.008543169,0.021200168,0.011118742,0.008255855
628,0.009147524,0.010677028,0.008704555,0.021404118,0.011203893,0.008428239
630,0.009305898,0.010745667,0.008822339,0.021442202,0.011206508,0.008593724
632,0.009425002,0.01083014,0.00889842,0.021328273,0.01127197,0.008724951
634,0.0095105,0.01096222,0.008930043,0.021087248,0.011310746,0.008815401
636,0.009577982,0.011177113,0.00891738,0.020704469,0.011368363,0.008858225
638,0.009595103,0.011503325,0.008866737,0.02017114,0.011473694,0.008833042
640,0.009510937,0.011962659,0.00879055,0.019484333,0.011638958,0.008751592
642,0.009347106,0.012574552,0.008699604,0.018656014,0.011604319,0.008661717
644,0.009146193,0.013287052,0.008624526,0.017758846,0.011590515,0.00855981
646,0.008880473,0.014033445,0.008622136,0.016863103,0.011595916,0.008432366
648,0.008671645,0.014760517,0.008746079,0.016036116,0.011650307,0.008342996
650,0.008623289,0.015428557,0.009046818,0.015342282,0.011814885,0.008351047
652,0.008761704,0.016028326,0.009529715,0.014880346,0.012171005,0.00843998
654,0.009237705,0.016564637,0.010276094,0.014675871,0.012706503,0.008645375
656,0.010130532,0.01711423,0.011330511,0.014769769,0.013457069,0.009035626
658,0.011371356,0.017745172,0.012676741,0.015179385,0.014391418,0.009672047
660,0.012888887,0.018516861,0.014237774,0.0158985,0.015411293,0.010680651
662,0.014723763,0.01942608,0.01596679,0.016893816,0.016570623,0.012090391
664,0.016766064,0.020407055,0.017709165,0.018064933,0.017874188,0.01376478
666,0.018718656,0.02139593,0.019341381,0.019331765,0.019319225,0.015731823
668,0.02051245,0.022314893,0.020781856,0.020608269,0.020801151,0.017844176
670,0.022031034,0.023072177,0.021990943,0.021802446,0.022113569,0.019894135
672,0.023160186,0.023576686,0.022942482,0.022781567,0.022995574,0.021725449
674,0.023865816,0.023858547,0.023591297,0.023503529,0.02358287,0.023119976
676,0.0239,0.0239,0.0239,0.0239,0.0239,0.0239
678,0.023107816,0.023664991,0.023817064,0.023883835,0.023912357,0.023971315
680,0.021636311,0.023099172,0.023276828,0.023349083,0.023526185,0.023214056
