Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 1.0 or 100 %, after [1] but changed to 1.0 instead 0.1 to enable constraining the sum of all R_b
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, polyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
512,1.0,0.219245933,0.082099071,0.140115878,0.037559384,0.01864
513,1.0,0.220408096,0.082458754,0.141615188,0.038137645,0.01947
514,1.0,0.221569124,0.082802118,0.143048225,0.038683289,0.02033
515,1.0,0.222730678,0.083133104,0.144404699,0.039190798,0.02124
516,1.0,0.223893837,0.08345615,0.145662701,0.039661003,0.02218
517,1.0,0.225053912,0.083761595,0.146778585,0.040084846,0.02315
518,1.0,0.226216528,0.084051131,0.147755913,0.040473864,0.02413
519,1.0,0.227386341,0.084332494,0.148614276,0.040853586,0.02513
520,1.0,0.228555998,0.084601921,0.149349235,0.041201086,0.02612
521,1.0,0.22972232,0.084861561,0.149969468,0.041508349,0.02712
522,1.0,0.230886078,0.085119567,0.150498933,0.041805089,0.02809
523,1.0,0.232051097,0.085380293,0.150940328,0.042082493,0.02905
524,1.0,0.233224107,0.085647686,0.151285478,0.042321232,0.02999
525,1.0,0.234402966,0.085919952,0.151525437,0.042537154,0.03089
526,1.0,0.23558263,0.086204149,0.151698995,0.04273791,0.03175
527,1.0,0.236764045,0.086510157,0.151868792,0.042916056,0.03258
528,1.0,0.237949636,0.086835252,0.152001445,0.043094613,0.03336
529,1.0,0.239141647,0.087178168,0.15207932,0.043287069,0.0341
530,1.0,0.240341508,0.087549597,0.152152329,0.043466777,0.03479
531,1.0,0.24155085,0.087950888,0.152218149,0.043632322,0.03544
532,1.0,0.242772507,0.088382757,0.152258969,0.043786044,0.03604
533,1.0,0.244009356,0.088849363,0.152299274,0.04392834,0.0366
534,1.0,0.245262744,0.089351179,0.152350152,0.044068077,0.03711
535,1.0,0.246526912,0.089890376,0.152408389,0.044212518,0.03759
536,1.0,0.247809319,0.090471441,0.152500427,0.044360817,0.03803
537,1.0,0.249118643,0.091097541,0.152647706,0.044512928,0.03844
538,1.0,0.25045015,0.091767815,0.15282791,0.044664965,0.03882
539,1.0,0.251802548,0.09248395,0.153047903,0.044822234,0.03917
540,1.0,0.253178853,0.093248872,0.153332932,0.045006513,0.0395
541,1.0,0.254580628,0.094065105,0.153655093,0.045205507,0.03981
542,1.0,0.256007804,0.094931906,0.154000648,0.045399476,0.0401
543,1.0,0.257461525,0.095846649,0.154410306,0.045587821,0.04038
544,1.0,0.25894181,0.096806134,0.154882206,0.045795493,0.04064
545,1.0,0.260447352,0.097806791,0.155387754,0.046039008,0.04088
546,1.0,0.261977249,0.098843505,0.155895011,0.04630136,0.04112
547,1.0,0.263531365,0.099915323,0.156387552,0.046579538,0.04134
548,1.0,0.26511094,0.101023236,0.156862463,0.046869085,0.04156
549,1.0,0.266717223,0.102171012,0.157299054,0.047153581,0.04175
550,1.0,0.268347417,0.103362577,0.157673576,0.047427477,0.04193
551,1.0,0.269996251,0.10460259,0.157972543,0.047705176,0.04208
552,1.0,0.271658621,0.105896355,0.158177299,0.047986118,0.04221
553,1.0,0.273329413,0.107249433,0.158255107,0.048265464,0.0423
554,1.0,0.275004027,0.108663971,0.158206816,0.048523645,0.04236
555,1.0,0.276676689,0.110141066,0.158045143,0.048757506,0.04237
556,1.0,0.278342279,0.111677716,0.157770704,0.048997829,0.04234
557,1.0,0.279991102,0.113269571,0.157384514,0.049231823,0.04226
558,1.0,0.281612251,0.114910485,0.156901921,0.049438546,0.04213
559,1.0,0.283204346,0.116591566,0.156339967,0.049622092,0.04195
560,1.0,0.284762088,0.118303301,0.155723159,0.049782853,0.04172
561,1.0,0.286276793,0.120034121,0.155094453,0.049933907,0.04144
562,1.0,0.287743943,0.121769838,0.154496654,0.050086402,0.04112
563,1.0,0.289161816,0.123494762,0.153977706,0.050242219,0.04075
564,1.0,0.290527719,0.125193143,0.153597292,0.050394659,0.04034
565,1.0,0.291838053,0.12684963,0.153406338,0.050559531,0.03989
566,1.0,0.293093946,0.128448873,0.153443917,0.050759594,0.03941
567,1.0,0.294299505,0.129974596,0.153748303,0.051000113,0.0389
568,1.0,0.295455392,0.131411304,0.15435868,0.051288461,0.03837
569,1.0,0.296560939,0.132744189,0.155307614,0.05163041,0.03782
570,1.0,0.297620443,0.133959351,0.156627483,0.052020874,0.03727
571,1.0,0.298639309,0.135044319,0.158345684,0.052459044,0.03671
572,1.0,0.299617888,0.135986776,0.16045545,0.052979434,0.03616
573,1.0,0.300558331,0.136776134,0.162939566,0.053593785,0.03562
574,1.0,0.301466925,0.137405639,0.16576702,0.054282376,0.0351
575,1.0,0.302345415,0.137871483,0.168917354,0.05502672,0.03459
576,1.0,0.303196376,0.138171726,0.172366773,0.055817469,0.03411
577,1.0,0.304022458,0.138306636,0.176058311,0.056678442,0.03365
578,1.0,0.304827158,0.138284602,0.179936042,0.05760458,0.03322
