date;satellite;C_phy;C_1;C_2;C_3;C_4;C_5;C_x;C_y;bb_wc;bb_nap;bb_phy;a_wc;a_nap;a_phy;a_cdom;rrs_fitted;rrs_input
2024-06-05;S3A;2.4577677705307877;0.6360105449648329;4.873010328587668e-10;0.36812078821304606;0.17563499243153036;1.2780014444340773;0.6589159077510476;0.06959944541419871;"[0.00921361 0.00912095 0.00879757 0.00838104 0.00823318 0.00791819
 0.00761915 0.00743671 0.00737783 0.00728565]";"[0.00566668 0.00566668 0.00566668 0.00566668 0.00566668 0.00566668
 0.00566668 0.00566668 0.00566668 0.00566668]";"[0.00354693 0.00345427 0.00313089 0.00271436 0.00256651 0.00225151
 0.00195248 0.00177004 0.00171115 0.00161898]";"[0.2224442  0.21249982 0.17395294 0.1079971  0.07686459 0.04198585
 0.02936154 0.04299867 0.04983026 0.01393927]";"[0.03981213 0.03657369 0.02629369 0.01559325 0.01251388 0.00721988
 0.0037316  0.00227468 0.00190178 0.00140578]";"[0.06861956 0.07357279 0.08040831 0.05781794 0.03821125 0.0217855
 0.02002613 0.03773945 0.0455523  0.01091589]";"[0.11401251 0.10235334 0.06725094 0.0345859  0.02613946 0.01298047
 0.00560381 0.00298454 0.00237619 0.0016176 ]";"[0.00265404 0.00272115 0.00302347 0.00413332 0.0045427  0.0044208
 0.00124687 0.00075453 0.00066867 0.0004141 ]";"[0.0026299  0.00269523 0.0030709  0.00418464 0.00447323 0.00446397
 0.00119191 0.00073238 0.00076138 0.00032909]"
2024-06-13;S3A;1.983981256377906;2.4750178656551824e-07;4.131008035646033e-09;0.06668797917190439;2.3132162851879912e-10;1.9172930253418854;1.5690390748285377;0.053631787753862264;"[0.01635692 0.01628213 0.01602108 0.01568485 0.01556549 0.01531122
 0.01506983 0.01492256 0.01487503 0.01480062]";"[0.01349374 0.01349374 0.01349374 0.01349374 0.01349374 0.01349374
 0.01349374 0.01349374 0.01349374 0.01349374]";"[0.00286319 0.00278839 0.00252735 0.00219111 0.00207176 0.00181748
 0.0015761  0.00142882 0.00138129 0.00130689]";"[0.23753067 0.22590725 0.18206146 0.11214368 0.07628438 0.0391763
 0.03072649 0.04015182 0.04724338 0.01406988]";"[0.09480236 0.08709085 0.06261168 0.03713133 0.02979859 0.01719229
 0.00888586 0.00541656 0.00452859 0.00334749]";"[0.0548728  0.05994518 0.0676277  0.04836122 0.0263433  0.01198154
 0.01752246 0.03243543 0.04088375 0.0094759 ]";"[0.08785551 0.07887122 0.05182208 0.02665113 0.02014249 0.01000246
 0.00431817 0.00229982 0.00183104 0.00124649]";"[0.00418749 0.00436953 0.00517485 0.00760966 0.0089103  0.00927281
 0.00254448 0.0015651  0.00138979 0.00085346]";"[0.00421249 0.00435338 0.00514582 0.00779287 0.00857088 0.00958279
 0.00213324 0.00116201 0.00108113 0.00049063]"
2024-06-19;S3A;2.5261103895119197;2.497227424846926e-10;1.0437842257182695e-09;0.04636004281115408;2.541607449502159e-07;2.4797500912465136;0.8722517117272066;0.05230323607677098;"[0.01114693 0.01105169 0.01071932 0.0102912  0.01013924 0.00981548
 0.00950813 0.00932062 0.0092601  0.00916536]";"[0.00750136 0.00750136 0.00750136 0.00750136 0.00750136 0.00750136
 0.00750136 0.00750136 0.00750136 0.00750136]";"[0.00364556 0.00355033 0.00321795 0.00278984 0.00263787 0.00231412
 0.00200677 0.00181926 0.00175873 0.001664  ]";"[0.2080785  0.20153289 0.17137558 0.10815126 0.0694379  0.03432587
 0.03137944 0.04641697 0.05633384 0.01508463]";"[0.05270201 0.04841507 0.03480674 0.02064185 0.01656547 0.00955745
 0.00493978 0.00301115 0.00251751 0.00186092]";"[0.0696973  0.07620037 0.08603047 0.06151848 0.03322891 0.01501374
 0.02222846 0.04116297 0.05203065 0.0120081 ]";"[0.08567918 0.07691744 0.05053836 0.02599093 0.01964353 0.00975469
 0.0042112  0.00224285 0.00178568 0.00121561]";"[0.0033701  0.00341788 0.00369515 0.00506827 0.00608341 0.0060447
 0.0015513  0.00094006 0.00082952 0.00051954]";"[0.00340092 0.00340141 0.00366621 0.00524827 0.00578044 0.006377
 0.00121464 0.00064991 0.00063839 0.00025617]"
2024-06-19;S3B;2.5265495706695034;3.174352447565809e-10;4.475375070533971e-09;0.0466390072895706;1.1696069196487358e-07;2.4799104416264304;0.8696490140164503;0.052472875726057355;"[0.01112518 0.01102993 0.01069749 0.01026931 0.01011731 0.0097935
 0.0094861  0.00929855 0.00923802 0.00914327]";"[0.00747898 0.00747898 0.00747898 0.00747898 0.00747898 0.00747898
 0.00747898 0.00747898 0.00747898 0.00747898]";"[0.0036462  0.00355094 0.00321851 0.00279032 0.00263833 0.00231452
 0.00200712 0.00181957 0.00175904 0.00166429]";"[0.20821244 0.20165202 0.17145113 0.10818506 0.06946016 0.0343333
 0.0313828  0.04642337 0.05634134 0.01508551]";"[0.05254476 0.04827061 0.03470289 0.02058026 0.01651604 0.00952893
 0.00492504 0.00300216 0.00251    0.00185537]";"[0.06971061 0.0762145  0.08604597 0.06152957 0.03323688 0.01501805
 0.0222329  0.04117108 0.05203987 0.01201058]";"[0.08595707 0.07716691 0.05070227 0.02607523 0.01970724 0.00978632
 0.00422486 0.00225013 0.00179147 0.00121955]";"[0.00337005 0.00341788 0.00369523 0.00506822 0.00608336 0.00604474
 0.00155133 0.00094004 0.0008295  0.00051953]";"[0.00340092 0.00340141 0.00366621 0.00524827 0.00578044 0.006377
 0.00121464 0.00064991 0.00063839 0.00025617]"
2024-06-21;S3A;3.3146529083145047;0.048086829544620735;1.219850886968743e-09;1.2791438753147735;6.610628711101185e-11;1.9874222021691534;1.4607971299176952;0.030042211936321783;"[0.01734641 0.01722144 0.01678531 0.01622356 0.01602416 0.01559934
 0.01519605 0.01495    0.01487059 0.01474628]";"[0.01256286 0.01256286 0.01256286 0.01256286 0.01256286 0.01256286
 0.01256286 0.01256286 0.01256286 0.01256286]";"[0.00478355 0.00465859 0.00422246 0.00366071 0.0034613  0.00303649
 0.0026332  0.00238715 0.00230774 0.00218342]";"[0.23386834 0.2287485  0.20211974 0.1316328  0.09248602 0.0491488
 0.04219713 0.06431505 0.07385704 0.02119567]";"[0.08826231 0.08108279 0.05829234 0.03456979 0.0277429  0.01600626
 0.00827286 0.00504289 0.00421618 0.00311656]";"[0.09639316 0.10348546 0.11479891 0.0821342  0.05346017 0.02753958
 0.03150542 0.0579839  0.06861519 0.01738088]";"[0.04921287 0.04418025 0.02902849 0.01492881 0.01128295 0.00560295
 0.00241885 0.00128826 0.00102567 0.00069823]";"[0.00451545 0.00455692 0.00483931 0.00670483 0.00785183 0.00851003
 0.00246629 0.00148608 0.00131711 0.00084276]";"[0.00459161 0.00456175 0.00482901 0.00684064 0.00770286 0.00858654
 0.00229315 0.00138166 0.00150455 0.0006873 ]"
2024-06-27;S3A;3.312844062818789;0.047115398161920174;4.947459109061469e-10;1.2776338352597614;6.229450288941507e-10;1.9880948282794164;1.4659377149507813;0.029788071245476944;"[0.017388   0.01726311 0.01682722 0.01626577 0.01606648 0.01564189
 0.01523882 0.01499291 0.01491354 0.0147893 ]";"[0.01260706 0.01260706 0.01260706 0.01260706 0.01260706 0.01260706
 0.01260706 0.01260706 0.01260706 0.01260706]";"[0.00478094 0.00465604 0.00422015 0.00365871 0.00345941 0.00303483
 0.00263176 0.00238585 0.00230648 0.00218223]";"[0.23371475 0.22860988 0.20202509 0.13159015 0.09245296 0.04913371
 0.04219188 0.06429354 0.07383385 0.0211936 ]";"[0.08857291 0.08136812 0.05849747 0.03469144 0.02784053 0.01606259
 0.00830197 0.00506064 0.00423102 0.00312753]";"[0.0963453  0.10343525 0.11474469 0.08209619 0.05342492 0.02751557
 0.03149152 0.05795554 0.06858584 0.01737374]";"[0.04879655 0.04380651 0.02878293 0.01480252 0.01118751 0.00555555
 0.00239839 0.00127736 0.00101699 0.00069232]";"[0.00451551 0.00455694 0.0048393  0.00670478 0.0078519  0.00850998
 0.00246634 0.00148617 0.00131721 0.00084277]";"[0.00459161 0.00456175 0.00482901 0.00684064 0.00770286 0.00858654
 0.00229315 0.00138166 0.00150455 0.0006873 ]"
2024-06-27;S3B;2.5266915388956956;2.2847806979697793e-10;1.1230183449839615e-11;0.04672782352212995;1.7133153396020617e-07;2.4799635438023233;0.868803661992863;0.052528066251408545;"[0.01111811 0.01102286 0.0106904  0.01026219 0.01011019 0.00978636
 0.00947894 0.00929139 0.00923085 0.00913609]";"[0.00747171 0.00747171 0.00747171 0.00747171 0.00747171 0.00747171
 0.00747171 0.00747171 0.00747171 0.00747171]";"[0.0036464  0.00355114 0.00321869 0.00279048 0.00263848 0.00231465
 0.00200723 0.00181967 0.00175914 0.00166438]";"[0.20825607 0.20169082 0.17147573 0.10819607 0.0694674  0.03433572
 0.03138389 0.04642543 0.05634376 0.01508579]";"[0.05249368 0.04822369 0.03466915 0.02056025 0.01649999 0.00951967
 0.00492025 0.00299924 0.00250756 0.00185356]";"[0.06971491 0.07621906 0.08605097 0.06153316 0.03323945 0.01501943
 0.02223433 0.0411737  0.05204285 0.01201139]";"[0.08604748 0.07724808 0.0507556  0.02610266 0.01972797 0.00979662
 0.0042293  0.00225249 0.00179336 0.00122084]";"[0.00337004 0.00341788 0.00369525 0.00506821 0.00608335 0.00604475
 0.00155133 0.00094004 0.00082949 0.00051952]";"[0.00340092 0.00340141 0.00366621 0.00524827 0.00578044 0.006377
 0.00121464 0.00064991 0.00063839 0.00025617]"
2024-07-24;S3A;1.1558162760216817e-09;2.3132079585153065e-10;2.313191305169937e-10;2.3053475795009604e-10;2.3132079585153065e-10;2.3132079585153065e-10;4.041071635948991;1.9409857054952795e-10;"[0.03475322 0.03475322 0.03475322 0.03475322 0.03475322 0.03475322
 0.03475322 0.03475322 0.03475322 0.03475322]";"[0.03475322 0.03475322 0.03475322 0.03475322 0.03475322 0.03475322
 0.03475322 0.03475322 0.03475322 0.03475322]";"[1.66801947e-12 1.62444431e-12 1.47236644e-12 1.27648502e-12
 1.20695295e-12 1.05881963e-12 9.18192709e-13 8.32396326e-13
 8.04705084e-13 7.61358046e-13]";"[0.24416416 0.22430312 0.16125683 0.09563202 0.07674649 0.04427887
 0.0228856  0.01395039 0.01166342 0.00862149]";"[0.24416416 0.22430312 0.16125683 0.09563202 0.07674649 0.04427887
 0.0228856  0.01395039 0.01166342 0.00862149]";"[3.78082386e-11 3.96510176e-11 4.13185591e-11 3.02957086e-11
 2.34477997e-11 1.72750520e-11 1.04682624e-11 1.81382364e-11
 2.12999399e-11 5.45072273e-12]";"[3.17957506e-10 2.85442474e-10 1.87549070e-10 9.64529850e-11
 7.28975979e-11 3.61998758e-11 1.56278673e-11 8.32327401e-12
 6.62670805e-12 4.51116583e-12]";"[0.00876982 0.00961807 0.01331224 0.0204414  0.02064271 0.02100622
 0.00663877 0.00422381 0.00380764 0.00214234]";"[0.01904641 0.0188632  0.01846671 0.02297368 0.02376632 0.02091841
 0.00482262 0.00268243 0.00238137 0.00099328]"
2024-07-25;S3A;6.641302341403588e-08;2.3132079585153065e-10;2.3132079585153065e-10;6.548774023062975e-08;2.3132079585153065e-10;2.3132079585153065e-10;3.3119085849771617;1.0139603046077639e-10;"[0.02848241 0.02848241 0.02848241 0.02848241 0.02848241 0.02848241
 0.02848241 0.02848241 0.02848241 0.02848241]";"[0.02848241 0.02848241 0.02848241 0.02848241 0.02848241 0.02848241
 0.02848241 0.02848241 0.02848241 0.02848241]";"[9.58441395e-11 9.33403172e-11 8.46019464e-11 7.33466304e-11
 6.93513290e-11 6.08396110e-11 5.27592102e-11 4.78293634e-11
 4.62382289e-11 4.37475149e-11]";"[0.20010766 0.1838303  0.13215997 0.07837637 0.06289851 0.03628928
 0.01875616 0.01143321 0.00955889 0.00706585]";"[0.20010766 0.1838303  0.13215997 0.07837637 0.06289851 0.03628928
 0.01875616 0.01143321 0.00955889 0.00706585]";"[2.12025705e-09 2.21590462e-09 2.39123631e-09 1.71522784e-09
 1.40160675e-09 8.06916470e-10 7.21080526e-10 1.30674170e-09
 1.40649119e-09 4.10573272e-10]";"[1.66099260e-10 1.49113585e-10 9.79746071e-11 5.03865112e-11
 3.80813060e-11 1.89106169e-11 8.16391232e-12 4.34803277e-12
 3.46175600e-12 2.35660833e-12]";"[0.00890155 0.00975295 0.01337078 0.02000768 0.01948848 0.01862431
 0.00539873 0.0034067  0.00306816 0.00173089]";"[0.01781862 0.01719787 0.01560815 0.01931575 0.02033074 0.01844201
 0.0044853  0.0024677  0.00210853 0.0008888 ]"
2024-07-29;S3A;1.1710405811715674e-07;1.1061809052081983e-07;2.3132162851879912e-10;5.791399859678137e-09;2.3192531228843905e-10;2.3132079585153065e-10;2.8571346558636614;1.4948681181792267e-11;"[0.02457136 0.02457136 0.02457136 0.02457136 0.02457136 0.02457136
 0.02457136 0.02457136 0.02457136 0.02457136]";"[0.02457136 0.02457136 0.02457136 0.02457136 0.02457136 0.02457136
 0.02457136 0.02457136 0.02457136 0.02457136]";"[1.68999047e-10 1.64584134e-10 1.49176031e-10 1.29329876e-10
 1.22285083e-10 1.07276630e-10 9.30287058e-11 8.43360574e-11
 8.15304585e-11 7.71386584e-11]";"[0.17262993 0.15858769 0.11401246 0.06761414 0.05426161 0.03130623
 0.01618067 0.00986326 0.00824632 0.0060956 ]";"[0.17262992 0.15858769 0.11401245 0.06761413 0.05426161 0.03130623
 0.01618067 0.00986326 0.00824632 0.0060956 ]";"[2.28118859e-09 2.50917684e-09 2.82359516e-09 1.92221566e-09
 1.51622441e-09 1.18198175e-09 4.51340837e-10 1.20330026e-09
 1.40521986e-09 1.46698279e-10]";"[2.44877918e-11 2.19836165e-11 1.44442653e-11 7.42841597e-12
 5.61427602e-12 2.78796696e-12 1.20359468e-12 6.41024656e-13
 5.10362058e-13 3.47431615e-13]";"[0.00900868 0.00986205 0.01340894 0.01962524 0.01855774 0.01689389
 0.00462261 0.00290433 0.00261459 0.00147866]";"[0.01612624 0.01593421 0.01495921 0.01826852 0.01876301 0.0168934
 0.00400378 0.00223079 0.00196123 0.00077434]"
